_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,COP_DELIV_QTY,COP_DELIV_PERC,CH_TOTAL_TRADES,VWAP,CH_TIMESTAMP,CH_ISIN,createdAt,updatedAt,TIMESTAMP,mTIMESTAMP
66bb4adb8ef9995963de0587,INFY,EQ,N,1810.0,1789.05,1810.0,1797.45,1795.95,1797.4,4176918,7515536069.05,1903.0,1351.65,2797011,66.96,152390,1799.3,2024-08-13,INE009A01021,2024-08-13T12:00:27.775Z,2024-08-13T12:00:27.775Z,2024-08-12T18:30:00.000Z,2024-08-13
66bcc583ee2fb2a6f739251f,INFY,EQ,N,1825.0,1797.45,1802.0,1823.25,1820.0,1797.45,7450718,13513504750.8,1903.0,1351.65,5099465,68.44,195413,1813.72,2024-08-14,INE009A01021,2024-08-14T14:56:03.776Z,2024-08-14T14:56:03.776Z,2024-08-13T18:30:00.000Z,2024-08-14
66c333de9e25e275ce28beb5,INFY,EQ,N,1867.55,1849.2,1860.0,1864.8,1865.0,1858.95,2585989,4815890949.8,1903.0,1351.65,1682024,65.04,140168,1862.3,2024-08-19,INE009A01021,2024-08-19T12:00:30.640Z,2024-08-19T12:00:30.640Z,2024-08-18T18:30:00.000Z,2024-08-19
66c4855f6ed189eaad1847a8,INFY,EQ,N,1885.7,1868.2,1880.0,1872.2,1871.0,1864.8,3870333,7257635525.75,1903.0,1351.65,2795587,72.23,141879,1875.2,2024-08-20,INE009A01021,2024-08-20T12:00:31.958Z,2024-08-20T12:00:31.958Z,2024-08-19T18:30:00.000Z,2024-08-20
66c5d6df7450e8bd160eefa2,INFY,EQ,N,1879.0,1867.1,1875.1,1872.7,1872.6,1872.2,1966902,3681187613.5,1903.0,1351.65,1393116,70.83,116979,1871.57,2024-08-21,INE009A01021,2024-08-21T12:00:31.467Z,2024-08-21T12:00:31.467Z,2024-08-20T18:30:00.000Z,2024-08-21
66c7285da6c9947ff6c3329b,INFY,EQ,N,1893.65,1869.7,1884.0,1880.25,1879.95,1872.7,4300287,8086221002.75,1903.0,1351.65,2815163,65.46,185241,1880.39,2024-08-22,INE009A01021,2024-08-22T12:00:29.970Z,2024-08-22T12:00:29.970Z,2024-08-21T18:30:00.000Z,2024-08-22
66c879e0058b857509840b77,INFY,EQ,N,1882.6,1857.0,1878.2,1862.1,1865.95,1880.25,5015935,9351150975.1,1903.0,1351.65,3349976,66.79,158876,1864.29,2024-08-23,INE009A01021,2024-08-23T12:00:32.278Z,2024-08-23T12:00:32.278Z,2024-08-22T18:30:00.000Z,2024-08-23
66cc6e60ba69ced25fa291f3,INFY,EQ,N,1888.75,1864.0,1870.0,1876.15,1878.0,1862.1,3728589,7008612072.55,1903.0,1351.65,2632742,70.61,164417,1879.7,2024-08-26,INE009A01021,2024-08-26T12:00:32.117Z,2024-08-26T12:00:32.117Z,2024-08-25T18:30:00.000Z,2024-08-26
66cde2ac518659f3060a0bc5,INFY,EQ,N,1902.75,1873.9,1876.15,1900.1,1898.0,1876.15,3830679,7260360446.0,1903.0,1351.65,2434852,63.56,169020,1895.32,2024-08-27,INE009A01021,2024-08-27T14:29:00.657Z,2024-08-27T14:29:00.657Z,2024-08-26T18:30:00.000Z,2024-08-27
66b0bedd24ac63aa548e3de1,ITC,EQ,N,491.9,479.55,480.05,486.0,485.9,489.1,24094139,11705282411.05,510.65,399.35,15735760,65.31,240878,485.81,2024-08-05,INE154A01025,2024-08-05T12:00:29.372Z,2024-08-05T12:00:29.372Z,2024-08-04T18:30:00.000Z,2024-08-05
66b2105f8897c6b999ebefc8,ITC,EQ,N,491.7,484.05,486.25,486.3,487.8,486.0,13722855,6690115892.1,510.65,399.35,8617469,62.8,165576,487.52,2024-08-06,INE154A01025,2024-08-06T12:00:31.518Z,2024-08-06T12:00:31.518Z,2024-08-05T18:30:00.000Z,2024-08-06
66b4b35fc885d3c32a444fa5,ITC,EQ,N,498.0,492.5,494.0,494.75,494.15,492.65,20558134,10175999936.05,510.65,399.35,12748162,62.01,250724,494.99,2024-08-08,INE154A01025,2024-08-08T12:00:31.114Z,2024-08-08T12:00:31.114Z,2024-08-07T18:30:00.000Z,2024-08-08
66b604fe667796db7991304e,ITC,EQ,N,498.0,493.1,498.0,495.9,496.15,494.75,9201793,4558387017.25,510.65,399.35,6117841,66.49,144367,495.38,2024-08-09,INE154A01025,2024-08-09T12:01:02.026Z,2024-08-09T12:01:02.026Z,2024-08-08T18:30:00.000Z,2024-08-09
66c7285fa6c9947ff6c33e33,KOTAKBANK,EQ,N,1824.3,1805.8,1814.0,1821.5,1821.0,1812.95,3217988,5844327526.35,1926.5,1543.85,2126705,66.09,99422,1816.14,2024-08-22,INE237A01028,2024-08-22T12:00:31.247Z,2024-08-22T12:00:31.247Z,2024-08-21T18:30:00.000Z,2024-08-22
66c879e1058b857509840f52,KOTAKBANK,EQ,N,1827.9,1812.7,1821.5,1818.0,1819.9,1821.5,1815186,3305326284.7,1926.5,1543.85,1165724,64.22,70567,1820.93,2024-08-23,INE237A01028,2024-08-23T12:00:33.208Z,2024-08-23T12:00:33.208Z,2024-08-22T18:30:00.000Z,2024-08-23
66d062e3f5482a5c7eafa3ca,KOTAKBANK,EQ,N,1798.5,1773.0,1783.25,1777.25,1777.85,1791.3,5531158,9866069133.0,1926.5,1543.85,3740068,67.62,149451,1783.73,2024-08-29,INE237A01028,2024-08-29T12:00:35.535Z,2024-08-29T12:00:35.535Z,2024-08-28T18:30:00.000Z,2024-08-29
66d1b45fe006af35e6e8e5af,KOTAKBANK,EQ,N,1790.0,1774.35,1777.3,1780.8,1780.0,1777.25,7458172,13285428435.2,1926.5,1543.85,5747737,77.07,135803,1781.33,2024-08-30,INE237A01028,2024-08-30T12:00:31.397Z,2024-08-30T12:00:31.397Z,2024-08-29T18:30:00.000Z,2024-08-30
66b9f980e011553e4448660e,LT,EQ,N,3611.0,3563.0,3579.0,3571.95,3573.0,3592.05,1965035,7043299073.45,3919.9,2616.0,1247326,63.48,121950,3584.31,2024-08-12,INE018A01030,2024-08-12T12:01:04.362Z,2024-08-12T12:01:04.362Z,2024-08-11T18:30:00.000Z,2024-08-12
66bb4aff43944ad5f60bc42e,LT,EQ,N,3607.0,3545.2,3580.0,3551.8,3551.0,3571.95,1316218,4703098657.5,3919.9,2616.0,828185,62.92,85677,3573.19,2024-08-13,INE018A01030,2024-08-13T12:01:03.918Z,2024-08-13T12:01:03.918Z,2024-08-12T18:30:00.000Z,2024-08-13
66bc9c7fe5e9e337a4e02080,LT,EQ,N,3578.7,3536.5,3558.95,3545.2,3540.05,3551.8,1584372,5635385430.6,3919.9,2616.0,1101066,69.5,86539,3556.86,2024-08-14,INE018A01030,2024-08-14T12:01:03.776Z,2024-08-14T12:01:03.776Z,2024-08-13T18:30:00.000Z,2024-08-14
66c33400791b610bc60270e1,LT,EQ,N,3599.9,3547.0,3599.85,3555.05,3558.1,3568.35,1898535,6761408510.4,3919.9,2623.45,1256733,66.19,98035,3561.38,2024-08-19,INE018A01030,2024-08-19T12:01:04.010Z,2024-08-19T12:01:04.010Z,2024-08-18T18:30:00.000Z,2024-08-19
66c48580ca024ae00a382979,LT,EQ,N,3580.0,3548.0,3562.0,3572.7,3579.0,3555.05,1285569,4587442113.55,3919.9,2623.45,917563,71.37,78801,3568.41,2024-08-20,INE018A01030,2024-08-20T12:01:04.155Z,2024-08-20T12:01:04.155Z,2024-08-19T18:30:00.000Z,2024-08-20
66c48580ca024ae00a382a1c,MARUTI,EQ,N,12310.0,12150.1,12160.5,12214.95,12208.0,12149.8,471927,5766407142.5,13680.0,9409.7,315372,66.83,43796,12218.85,2024-08-20,INE585B01010,2024-08-20T12:01:04.211Z,2024-08-20T12:01:04.211Z,2024-08-19T18:30:00.000Z,2024-08-20
66c5d6ff7d87ff8fce09df67,MARUTI,EQ,N,12248.95,12177.05,12214.95,12220.95,12218.05,12214.95,295984,3615954054.3,13680.0,9409.7,189763,64.11,37207,12216.72,2024-08-21,INE585B01010,2024-08-21T12:01:03.972Z,2024-08-21T12:01:03.972Z,2024-08-20T18:30:00.000Z,2024-08-21
66c7287fca847f6a4b1ec2f6,MARUTI,EQ,N,12325.0,12181.0,12280.0,12276.35,12305.05,12220.95,501316,6138135178.6,13680.0,9409.7,354068,70.63,61928,12244.04,2024-08-22,INE585B01010,2024-08-22T12:01:03.931Z,2024-08-22T12:01:03.931Z,2024-08-21T18:30:00.000Z,2024-08-22
66d0630028fe008f761c012a,MARUTI,EQ,N,12480.0,12250.0,12343.0,12453.8,12450.0,12357.5,608598,7513925308.0,13680.0,9506.0,382443,62.84,77935,12346.29,2024-08-29,INE585B01010,2024-08-29T12:01:04.356Z,2024-08-29T12:01:04.356Z,2024-08-28T18:30:00.000Z,2024-08-29
66d1b47f9893039700145a7b,MARUTI,EQ,N,12570.0,12316.2,12460.0,12403.0,12461.8,12453.8,2271179,28193105736.65,13680.0,9506.0,1670252,73.54,113338,12413.42,2024-08-30,INE585B01010,2024-08-30T12:01:03.984Z,2024-08-30T12:01:03.984Z,2024-08-29T18:30:00.000Z,2024-08-30
66b210618897c6b999ebf853,NESTLEIND,EQ,N,2528.0,2501.0,2513.9,2508.5,2510.0,2510.9,949431,2386920838.25,27693.0,2327.45,598932,63.08,60068,2514.05,2024-08-06,INE239A01024,2024-08-06T12:00:33.665Z,2024-08-06T12:00:33.665Z,2024-08-05T18:30:00.000Z,2024-08-06
66b361e225658921b21cfda7,NESTLEIND,EQ,N,2528.95,2510.25,2518.55,2522.8,2520.0,2508.5,649970,1637355270.95,27693.0,2327.45,488776,75.2,57091,2519.12,2024-08-07,INE239A01024,2024-08-07T12:00:34.047Z,2024-08-07T12:00:34.047Z,2024-08-06T18:30:00.000Z,2024-08-07
66b4b361c885d3c32a44686e,NESTLEIND,EQ,N,2525.0,2478.0,2518.55,2489.1,2491.0,2522.8,1425006,3550480030.55,27693.0,2327.45,1020472,71.61,103684,2491.55,2024-08-08,INE239A01024,2024-08-08T12:00:33.757Z,2024-08-08T12:00:33.757Z,2024-08-07T18:30:00.000Z,2024-08-08
66b9f95d8308cafe1544c0f9,NESTLEIND,EQ,N,2509.95,2468.35,2501.8,2473.1,2474.1,2504.7,475020,1178554601.25,27693.0,2327.45,300381,63.24,53868,2481.06,2024-08-12,INE239A01024,2024-08-12T12:00:29.164Z,2024-08-12T12:00:29.164Z,2024-08-11T18:30:00.000Z,2024-08-12
66bb4add8ef9995963de0b53,NESTLEIND,EQ,N,2492.0,2473.5,2474.0,2484.7,2480.45,2473.1,311846,774536215.55,27693.0,2327.45,190491,61.08,36415,2483.71,2024-08-13,INE239A01024,2024-08-13T12:00:29.351Z,2024-08-13T12:00:29.351Z,2024-08-12T18:30:00.000Z,2024-08-13
66bcc585ee2fb2a6f7392ade,NESTLEIND,EQ,N,2491.95,2460.6,2486.9,2474.6,2478.0,2484.7,561876,1389709255.6,27693.0,2327.45,392341,69.83,47912,2473.34,2024-08-14,INE239A01024,2024-08-14T14:56:05.796Z,2024-08-14T14:56:05.796Z,2024-08-13T18:30:00.000Z,2024-08-14
66c333e09e25e275ce28d00a,NESTLEIND,EQ,N,2546.0,2500.55,2530.0,2503.15,2505.05,2525.45,477701,1200707670.65,27693.0,2327.45,316126,66.18,40874,2513.51,2024-08-19,INE239A01024,2024-08-19T12:00:32.907Z,2024-08-19T12:00:32.907Z,2024-08-18T18:30:00.000Z,2024-08-19
66c485616ed189eaad184d83,NESTLEIND,EQ,N,2526.0,2499.05,2510.6,2518.5,2525.0,2503.15,484732,1217572880.9,27693.0,2327.45,352296,72.68,35002,2511.85,2024-08-20,INE239A01024,2024-08-20T12:00:33.562Z,2024-08-20T12:00:33.562Z,2024-08-19T18:30:00.000Z,2024-08-20
66cc6e62ba69ced25fa2a3d4,NESTLEIND,EQ,N,2545.0,2507.95,2529.2,2519.55,2529.9,2529.2,633399,1598948499.45,27693.0,2327.45,427933,67.56,33683,2524.39,2024-08-26,INE239A01024,2024-08-26T12:00:34.014Z,2024-08-26T12:00:34.014Z,2024-08-25T18:30:00.000Z,2024-08-26
66cde2ae518659f3060a1d38,NESTLEIND,EQ,N,2532.8,2511.5,2528.65,2521.45,2522.95,2519.55,391065,986842470.7,27693.0,2327.45,258983,66.23,31967,2523.47,2024-08-27,INE239A01024,2024-08-27T14:29:02.487Z,2024-08-27T14:29:02.487Z,2024-08-26T18:30:00.000Z,2024-08-27
66cf11687b802c4bfaae2351,NESTLEIND,EQ,N,2519.0,2490.0,2519.0,2492.5,2494.65,2521.45,565161,1412420642.5,27693.0,2327.45,361069,63.89,54313,2499.15,2024-08-28,INE239A01024,2024-08-28T12:00:40.896Z,2024-08-28T12:00:40.896Z,2024-08-27T18:30:00.000Z,2024-08-28
66d062e4f5482a5c7eafa981,NESTLEIND,EQ,N,2519.45,2490.65,2498.9,2504.55,2505.0,2492.5,899794,2253779436.9,27693.0,2327.45,549879,61.11,81622,2504.77,2024-08-29,INE239A01024,2024-08-29T12:00:36.138Z,2024-08-29T12:00:36.138Z,2024-08-28T18:30:00.000Z,2024-08-29
66d1b460e006af35e6e8eb8b,NESTLEIND,EQ,N,2517.3,2491.8,2504.55,2500.75,2506.0,2504.55,1904487,4765395670.0,27693.0,2327.45,1403145,73.68,84935,2502.19,2024-08-30,INE239A01024,2024-08-30T12:00:32.082Z,2024-08-30T12:00:32.082Z,2024-08-29T18:30:00.000Z,2024-08-30
66b36200c65c452d432b4da8,NTPC,EQ,N,421.0,415.0,421.0,416.3,416.2,415.0,15556736,6487490563.6,426.3,211.8,9562163,61.47,151513,417.02,2024-08-07,INE733E01010,2024-08-07T12:01:04.226Z,2024-08-07T12:01:04.226Z,2024-08-06T18:30:00.000Z,2024-08-07
66b4b380beafe5d0f8085227,NTPC,EQ,N,417.0,405.8,416.35,407.7,408.1,416.3,16447385,6757963950.65,426.3,211.8,10116349,61.51,172364,410.88,2024-08-08,INE733E01010,2024-08-08T12:01:04.519Z,2024-08-08T12:01:04.519Z,2024-08-07T18:30:00.000Z,2024-08-08
66b9f95b8308cafe1544ba7c,POWERGRID,EQ,N,343.8,339.5,343.0,341.15,341.2,346.0,12521136,4281783953.3,362.5,190.65,8269802,66.05,114657,341.96,2024-08-12,INE752E01010,2024-08-12T12:00:27.480Z,2024-08-12T12:00:27.480Z,2024-08-11T18:30:00.000Z,2024-08-12
66bb4adb8ef9995963de04ed,POWERGRID,EQ,N,342.45,335.15,337.0,336.95,335.8,341.15,10435954,3536733917.35,362.5,190.65,6423730,61.55,121895,338.9,2024-08-13,INE752E01010,2024-08-13T12:00:27.634Z,2024-08-13T12:00:27.634Z,2024-08-12T18:30:00.000Z,2024-08-13
